Name: olcm_8MVs_1000

//Variables: name of variable followed by names of states

c1: 0 1 2 
c2: 0 1 
mv1: 0 1 
mv2: 0 1 
mv3: 0 1 
mv4: 0 1 
mv5: 0 1 
mv6: 0 1 
mv7: 0 1 
mv8: 0 1 

//Records: Numbers in the last column are frequencies.

1 1 1 1 1 1 1 1 1 1   7.0
2 1 1 0 0 1 0 0 0 0   2.0
0 1 0 0 0 0 0 0 0 0   1.0
2 1 1 0 0 1 0 1 0 1   2.0
0 1 0 1 0 0 0 1 0 1   4.0
0 1 1 1 1 0 1 1 1 0   2.0
1 1 0 1 1 1 1 1 0 1   7.0
0 1 0 1 1 1 0 0 1 0   1.0
0 1 0 0 1 0 1 1 1 1   4.0
1 1 1 1 1 1 1 0 0 0   3.0
0 1 0 1 1 0 1 0 0 0   4.0
0 0 1 0 1 0 1 1 1 1   1.0
0 1 1 0 1 1 0 0 1 0   1.0
0 1 0 0 1 0 0 0 0 0   2.0
1 1 1 0 1 0 1 1 0 1   1.0
0 1 0 1 1 0 1 1 0 1   3.0
0 1 1 0 1 0 1 1 1 0   6.0
2 1 1 1 0 1 1 0 0 1   2.0
1 1 0 0 1 1 1 1 0 0   1.0
0 1 1 0 0 0 1 0 1 1   3.0
0 1 1 1 1 0 1 0 0 1   3.0
2 1 1 0 0 1 0 1 1 0   2.0
1 1 1 1 1 1 1 1 0 1   4.0
1 1 1 0 1 1 0 1 0 1   4.0
1 1 0 1 1 1 1 1 0 0   4.0
1 1 1 0 1 1 0 1 1 0   6.0
0 1 1 0 1 0 0 0 0 1   2.0
0 1 0 1 0 1 1 1 1 0   1.0
1 1 1 0 0 1 0 1 1 0   3.0
1 1 1 0 1 1 1 1 1 0   6.0
1 1 1 1 1 0 0 0 1 0   2.0
1 1 0 1 0 1 1 1 0 0   4.0
2 1 1 0 0 0 0 1 0 0   1.0
1 1 1 1 1 1 0 1 1 1   5.0
0 1 1 0 0 1 1 0 0 1   1.0
1 1 1 1 1 1 0 0 1 0   2.0
0 1 1 1 1 0 0 1 0 1   3.0
2 1 1 1 1 1 1 0 1 0   2.0
1 1 0 1 1 1 0 1 0 0   1.0
0 0 1 0 0 0 1 1 1 1   1.0
1 1 0 0 0 1 1 1 0 1   4.0
1 1 0 1 1 1 0 1 0 1   11.0
1 1 1 0 0 1 1 1 0 0   3.0
0 1 1 1 1 0 0 0 0 0   5.0
0 1 0 0 1 0 0 0 1 1   3.0
1 1 0 0 0 0 0 1 1 1   1.0
0 1 1 1 1 0 0 1 1 1   2.0
1 1 0 1 0 0 1 0 1 0   1.0
0 1 1 1 0 0 0 1 0 0   6.0
1 1 0 1 1 1 1 1 1 1   11.0
1 1 0 0 1 1 0 1 1 1   4.0
1 1 1 0 0 1 1 0 1 0   1.0
1 1 0 1 1 0 0 1 0 0   3.0
0 1 1 1 1 1 0 1 1 0   1.0
0 1 1 1 1 0 0 0 1 0   1.0
1 1 0 1 1 0 1 1 0 1   5.0
0 1 0 0 1 0 0 0 0 1   7.0
1 1 1 1 1 0 0 1 0 0   2.0
2 1 0 0 0 1 1 1 0 0   2.0
2 1 1 0 0 1 1 1 0 1   5.0
0 1 1 1 0 1 0 1 1 1   1.0
0 1 1 0 1 0 1 0 1 0   2.0
1 1 1 1 1 1 0 0 0 0   3.0
1 1 1 0 0 1 0 1 1 1   3.0
2 1 0 1 0 1 0 1 1 1   1.0
1 1 0 0 0 1 0 1 0 1   2.0
1 1 0 0 1 1 0 1 1 0   4.0
0 1 0 0 0 0 0 0 0 1   4.0
2 1 1 1 1 0 1 1 0 0   1.0
2 1 1 1 1 0 0 1 1 0   1.0
0 1 0 0 1 0 1 1 0 1   3.0
1 1 1 1 1 1 1 1 0 0   6.0
0 1 1 1 0 0 1 1 1 1   1.0
0 1 0 0 0 0 1 0 0 0   1.0
0 1 1 1 1 0 1 1 1 1   3.0
2 1 0 1 1 0 0 1 1 1   1.0
0 1 0 1 0 0 1 0 0 0   1.0
0 1 0 1 1 0 0 0 0 0   4.0
0 1 0 0 0 0 0 0 1 0   3.0
0 1 0 0 0 0 1 0 1 1   3.0
